taxid,level,total_sequence_length,total_alignment_length
694003,species,193510240.0,32574
694002,genus,193510240.0,32574
469,genus,0.0,14212
40214,species,0.0,14212
1395974,genus,0.0,6170
943830,species,0.0,5225
34062,species,0.0,5212
475,genus,0.0,5212
1325100,species,0.0,4276
374,genus,0.0,4276
129951,species,453804.0,4173
10509,genus,453804.0,4173
561,genus,0.0,3750
562,species,0.0,3750
13689,species,0.0,3507
13687,genus,0.0,3507
152053,genus,0.0,2028
2709380,species,0.0,2028
2592816,species,0.0,945
-200,genus,0.0,805
1869227,species,0.0,805
