taxid,level,total_sequence_length,total_alignment_length
287,species,29542413.0,6589714
286,genus,29542413.0,6589714
562,species,66353767.0,4859230
561,genus,66353767.0,4859230
590,genus,99265591.0,4553287
28901,species,99265591.0,4553287
1386,genus,24767698.0,3978051
1423,species,22638371.0,3456069
4930,genus,78855.0,3223040
4932,species,78855.0,3147631
1639,species,30471044.0,2521431
1637,genus,30471044.0,2521431
1279,genus,41480059.0,2224388
1280,species,41324359.0,2222331
1350,genus,46096271.0,2161906
1351,species,46096271.0,2161906
96241,species,2129327.0,493525
27292,species,0.0,75409
2026186,species,0.0,16855
1396,species,0.0,9438
29387,species,155700.0,2057
157920,genus,0.0,1537
1710,species,0.0,1537
1428,species,0.0,1536
-200,genus,0.0,715
2580236,species,0.0,715
2026187,species,0.0,628
107449,genus,0.0,347
264483,species,0.0,347
620,genus,0.0,254
623,species,0.0,254
