,taxid,level,total_sequence_length,total_alignment_length,scientific_name,total_bp,proportion_of_subsampled,total_bp_adjusted,proportion_total_bp_adjusted
0,287,species,29542413,6589714,Pseudomonas aeruginosa,29542413,0.08642725180084146,2393888093.9258847,0.08499817218973474
2,562,species,66353767,4859230,Escherichia coli,66353767,0.19412001749631505,5376794807.128053,0.19091023177096395
5,28901,species,99265591,4553287,Salmonella enterica,99265591,0.29040458639977523,8043713843.937408,0.28560272975446466
7,1423,species,22638371,3456069,Bacillus subtilis,22638371,0.06622926132600838,1834438060.3837955,0.06513415665650255
9,4932,species,78855,3147631,Saccharomyces cerevisiae,3147631,0.009208492786731214,255059611.24340203,0.009056229825496885
10,1639,species,30471044,2521431,Listeria monocytogenes,30471044,0.08914399079122344,2469137150.0727367,0.08766998974366053
13,1280,species,41324359,2222331,Staphylococcus aureus,41324359,0.1208957027579761,3348605647.047822,0.11889668531519124
15,1351,species,46096271,2161906,Enterococcus faecalis,46096271,0.1348560803342918,3735284396.7512417,0.13262622724022835
16,96241,species,2129327,493525,Bacillus spizizenii,2129327,0.006229412634483526,172544150.4515871,0.00612640893600165
17,27292,species,0,75409,Saccharomyces pastorianus,75409,0.00022061138442041461,6110560.680160319,0.000216963562409601
18,2026186,species,0,16855,Bacillus paranthracis,16855,4.930982885870504e-05,1365798.515616202,4.8494487984376195e-05
19,1396,species,0,9438,Bacillus cereus,9438,2.761116373589191e-05,764782.3429478323,2.7154611545330314e-05
20,29387,species,155700,2057,Staphylococcus sp.,155700,0.0004555052122990433,12616720.787982358,0.00044797340724813837
22,1710,species,0,1537,Cellulosimicrobium cellulans,1537,4.496541498417659e-06,124546.56294880465,4.422190924472631e-06
23,1428,species,0,1536,Bacillus thuringiensis,1536,4.49361596718902e-06,124465.53070225372,4.419313767072194e-06
24,2580236,species,0,715,synthetic Escherichia coli Syn61,715,2.09175482847666e-06,57938.05628392669,2.0571675413129027e-06
25,2026187,species,0,628,Bacillus pacificus,628,1.8372336115850944e-06,50888.25083399435,1.8068548474748293e-06
27,264483,species,0,347,Phaffia rhodozyma,347,1.0151593363376239e-06,28118.18955317841,9.983736179518564e-07
29,623,species,0,254,Shigella flexneri,254,7.43084932074226e-07,20582.19062394039,7.30797979711157e-07
